timestep,delta_dim,delta_magnitude,delta_sign,clean_success,clean_done_step,perturbed_success,perturbed_done_step,success_changed,done_step_delay,eef_pos_l2_final,eef_pos_l2_max,sim_state_l2_final,sim_state_l2_max,score
45,0,0.05,1,True,33,True,36,False,3,0.005009484477341175,0.005009484477341175,1.2227039337158203,9.493155479431152,3.999410392716527
45,0,0.05,-1,True,33,True,31,False,-2,0.0045605809427797794,0.004876847844570875,2.552973747253418,6.468321323394775,0.6956006107851863
45,0,0.1,1,True,33,True,42,False,9,0.009906605817377567,0.009906605817377567,1.9994539022445679,10.497021675109863,10.148768225684762
45,0,0.1,-1,True,33,True,31,False,-2,0.009008391760289669,0.009554720483720303,3.4676992893218994,3.4676992893218994,0.44231713376939297
45,0,0.2,1,True,33,False,,True,20,0.018827710300683975,0.019407713785767555,1.7676763534545898,9.862592697143555,121.18033640757203
45,0,0.2,-1,True,33,True,32,False,-1,0.018953537568449974,0.019255496561527252,4.419210910797119,5.047189235687256,0.6972738891839981
45,1,0.05,1,True,33,True,31,False,-2,0.005090599879622459,0.005090599879622459,7.856847286224365,7.856847286224365,0.8365907274186611
45,1,0.05,-1,True,33,True,36,False,3,0.005515927914530039,0.005515927914530039,2.564164876937866,3.377091407775879,3.3928684199228885
45,1,0.1,1,True,33,True,32,False,-1,0.009858735837042332,0.01021597906947136,4.302202224731445,6.990906238555908,0.8012504145503044
45,1,0.1,-1,True,33,True,41,False,8,0.010956051759421825,0.010956051759421825,1.8682090044021606,3.1522488594055176,8.42478540353477
45,1,0.2,1,True,33,True,31,False,-2,0.020455125719308853,0.020455125719308853,4.286500453948975,4.286500453948975,0.633201302587986
45,1,0.2,-1,True,33,False,,True,20,0.02104988507926464,0.02104988507926464,1.1039578914642334,3.891108751296997,120.59960972592235
45,2,0.05,1,True,33,True,32,False,-1,0.005105591844767332,0.005291555542498827,4.8987603187561035,4.8987603187561035,0.5427915873005986
45,2,0.05,-1,True,33,True,34,False,1,0.0038082911632955074,0.005292074754834175,2.255223512649536,6.811990261077881,1.73411977365613
45,2,0.1,1,True,33,True,33,False,0,0.009562094695866108,0.010575799271464348,1.326866626739502,5.0428571701049805,0.6100437097251415
45,2,0.1,-1,True,33,True,37,False,4,0.008522428572177887,0.010597297921776772,2.415928363800049,6.202769756317139,4.726249954849481
